Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
"10552. СИЛА HK-1404 // замена блоков питания , C223011174","Добрый день! Не работают блоки питания, прошу заменить
",Ноутбук,Блок питания,"C223010423, C223011174"
HK2-1404 // Не работает зарядное устройство,"Не работает зарядное устройство
",Ноутбук,Блок питания,C223010034
HK2-1404 // Не работает зарядное устройство,"Не работает зарядное устройство.
",Ноутбук,Блок питания,C223010066
HK2-1404 // Не работает зарядное устройство,"Не работает зарядное устройство
",Ноутбук,Блок питания,C223011313
HK2-1404 // Не работает зарядное устройство,"Не работает зарядное устройство.
",Ноутбук,Блок питания,C223011966
HK2-1404 // Не работает зарядное устройство,"Не работает зарядное устройство
",Ноутбук,Блок питания,C223101193
HK2-1404 // Не работает зарядное устройство,"Перестало работать зарядное устройство. С другим работает корректно.
",Ноутбук,Блок питания,C223102298
Гарантия,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Диск ,С222091091
НК2-1404 // Не работает Wi-FI (Кашира),"На устройстве не работает WiFi
",Ноутбук,Wi-fi антенна,C223101179
НК2-1404 // Не работает Wi-FI (Кашира),"На устройстве не работает WiFi
",Ноутбук,Wi-fi модуль,C223101219
НК2-1404 v2 // Не работает зарядное устройство,"Не работает зарядное устройство.
",Ноутбук,Блок питания,C223100822
НК2-3404 // Мерцание экрана,"У нас же третий из 50 ноутбуков СИЛА проявляет слабость с экраном, вероятно, дело в шлейфе. 
Грустно то, что все 3 этих ноутбука не использовались «в полях» а стояли в офисе, их почти не открывали – закрывали. 
Известная проблема? 

Мерцает экран, пока есть 2 серийника, 1 ноутбук в пути:
C223091001
C223091126

Возможен ли ремонт не в Москве\Области? У нас есть офис в Самаре и в Санкт-Петербурге.",Ноутбук,Матрица,C223091001
НК2-3404 // Мерцание экрана,"У нас же третий из 50 ноутбуков СИЛА проявляет слабость с экраном, вероятно, дело в шлейфе. 
Грустно то, что все 3 этих ноутбука не использовались «в полях» а стояли в офисе, их почти не открывали – закрывали. 
Известная проблема? 

Мерцает экран, пока есть 2 серийника, 1 ноутбук в пути:
C223091001
C223091126

Возможен ли ремонт не в Москве\Области? У нас есть офис в Самаре и в Санкт-Петербурге.",Ноутбук,Матрица,C223091126
"Ноутбук СИЛА HK-1404 // замена блоков питания , C223011343, C223011380","Добрый день! Не работают блоки питания, прошу заменить
",Ноутбук,Блок питания,"C223012682, C223011343, C223011380"
Ноутбук СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223012673
СИЛА HK2-1404 // Не работает зарядное устройство,"Не работает зарядное устройство.
",Ноутбук,Блок питания,C223011088
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223011355
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223011958
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА  C223012673 C223011958 C223011355 C223012788,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223012685
СИЛА HK2-1404// Не работает зарядное устройство,"Перестало работать зарядное устройство. С другим работает корректно.
",Ноутбук,Блок питания,C223100876
"СИЛА НК2-1404 // Рябь, мерцание //C223014073","Коллеги, добрый день!
У нас поломка 3-х ноутбуков СИЛА НК2-1404.
Серийные номера: C223013568,C223014073, C223014954


Рябь на ноутбуках/мерцание.",Ноутбук,Матрица,C223014954
"СИЛА НК2-1404 // Рябь, мерцание //C223014954","Коллеги, добрый день!
У нас поломка 3-х ноутбуков СИЛА НК2-1404.
Серийные номера: C223013568,C223014073, C223014954


Рябь на ноутбуках/мерцание.",Ноутбук,Матрица,C223014954
СИЛА НК2-1404//Драйверы звука и видео пропадают при перезагрузке,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Диск ,C222090246
СИЛА НК2-1404//нет звука,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Консультация,C222091827
СИЛА НК2-1404//нет звука и видеосигнала,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Материнская плата,C222091964
не работоспособность BMC,"Добрый день.

Сервер перестал пускать в BMC возвращая Invalid username or password
Ни под одним из трех пользователей не удается зайти ни по https ни по ssh
После попытки перезагрузки сервер индицирует ошибку (server_leds_18072024.jpg),до загрузки  ОС не доходит.

Таких серверов 4 шт, по каждому сделана отдельная заявка.",Сервер,Материнская плата,"D253040009, D253010009"
